Device_ID,User_ID,Age,Household_Size,City,Avg_Energy_Usage_kWh,Peak_Load_kW,Water_Usage_L_per_day,Occupancy_Hours,Smart_Device_Count,Weather_Condition,Weekday,Energy_Cost
D0,U0,56,7,Kochi,19.9,1.49,403,14,3,Rainy,Sun,750
D1,U1,48,6,Kochi,5.63,7.83,479,12,18,Sunny,Mon,1824
D2,U2,38,7,Chennai,6.65,4.87,229,7,5,Sunny,Wed,1141
D3,U3,73,4,Pune,4.04,7.97,695,10,14,Sunny,Thu,2503
D4,U4,64,4,Kochi,18.52,7.34,375,10,4,Cloudy,Mon,927
D5,U5,51,5,Chennai,16.0,2.16,657,5,7,Sunny,Wed,1079
D6,U6,72,6,Hyderabad,16.8,0.92,282,4,12,Cloudy,Fri,848
D7,U7,48,3,Kochi,18.25,2.42,367,11,2,Rainy,Wed,1199
D8,U8,69,1,Pune,11.45,4.46,421,11,11,Rainy,Sun,1721
D9,U9,42,7,Kochi,10.12,1.79,611,10,14,Sunny,Wed,2718
D10,U10,29,5,Hyderabad,7.95,1.76,177,17,16,Rainy,Sun,2937
D11,U11,18,1,Kochi,12.61,3.97,438,11,6,Sunny,Wed,1812
D12,U12,72,4,Pune,10.18,0.75,655,6,4,Cloudy,Tue,2947
D13,U13,39,5,Chennai,10.13,1.41,608,14,15,Rainy,Wed,2754
D14,U14,57,5,Pune,18.86,3.62,337,5,1,Sunny,Sat,1209
D15,U15,54,2,Chennai,19.71,0.97,233,10,7,Rainy,Wed,1750
D16,U16,64,4,Bengaluru,16.34,3.48,291,11,12,Rainy,Tue,1003
D17,U17,18,4,Pune,15.62,4.06,455,4,10,Sunny,Tue,413
D18,U18,18,6,Pune,14.25,3.88,377,15,5,Rainy,Fri,368
D19,U19,74,5,Hyderabad,4.99,7.02,117,13,12,Rainy,Sun,1177
D20,U20,59,7,Kochi,3.06,4.48,623,12,18,Rainy,Thu,1528
D21,U21,71,4,Chennai,14.43,4.01,279,16,10,Rainy,Mon,345
D22,U22,59,5,Chennai,15.12,3.58,222,14,6,Cloudy,Mon,1998
D23,U23,38,6,Hyderabad,2.85,6.63,345,7,12,Rainy,Wed,715
D24,U24,32,7,Hyderabad,18.7,7.21,472,17,7,Rainy,Fri,652
D25,U25,34,6,Kochi,3.64,6.9,150,15,18,Sunny,Wed,259
D26,U26,39,2,Kochi,7.15,5.55,170,17,2,Cloudy,Mon,727
D27,U27,55,7,Pune,14.1,1.53,579,7,10,Sunny,Sun,1223
D28,U28,52,5,Bengaluru,5.06,2.58,659,6,15,Sunny,Sun,2721
D29,U29,62,4,Kochi,3.0,0.85,118,9,12,Sunny,Sun,1764
D30,U30,33,4,Hyderabad,7.96,7.48,183,4,17,Cloudy,Tue,1302
D31,U31,25,5,Kochi,15.79,5.46,254,9,4,Sunny,Thu,632
D32,U32,64,5,Chennai,9.45,6.1,664,5,7,Sunny,Fri,1376
D33,U33,34,5,Bengaluru,13.75,2.84,456,12,9,Sunny,Tue,600
D34,U34,34,3,Pune,12.43,6.84,542,5,19,Rainy,Thu,2304
D35,U35,71,7,Chennai,2.4,2.45,168,10,7,Sunny,Fri,2433
D36,U36,43,4,Chennai,19.79,0.51,622,15,2,Cloudy,Fri,2645
D37,U37,30,7,Bengaluru,2.75,3.32,242,4,6,Cloudy,Mon,804
D38,U38,34,6,Pune,19.42,4.78,291,15,18,Rainy,Tue,2405
D39,U39,55,4,Hyderabad,11.9,4.09,486,10,6,Cloudy,Fri,2010
D40,U40,34,3,Pune,19.34,6.97,477,8,13,Cloudy,Sat,1663
D41,U41,65,5,Kochi,4.07,1.29,680,11,19,Rainy,Sun,2836
D42,U42,31,2,Chennai,10.83,4.65,634,7,2,Sunny,Fri,2713
D43,U43,62,5,Kochi,5.05,4.35,392,15,12,Rainy,Thu,2693
D44,U44,23,5,Hyderabad,2.92,2.61,108,13,15,Sunny,Mon,1973
D45,U45,52,3,Kochi,13.12,6.67,370,10,14,Sunny,Wed,1753
D46,U46,63,7,Pune,5.74,6.15,486,9,6,Cloudy,Sun,1296
D47,U47,31,4,Kochi,12.58,6.0,192,8,18,Rainy,Mon,1128
D48,U48,64,5,Hyderabad,4.02,7.07,628,7,5,Cloudy,Wed,2151
D49,U49,25,4,Hyderabad,7.98,5.92,253,10,18,Cloudy,Tue,2173
D50,U50,32,1,Hyderabad,16.07,2.24,504,15,3,Sunny,Tue,2264
D51,U51,71,6,Pune,9.87,5.79,248,8,3,Cloudy,Fri,1754
D52,U52,44,7,Hyderabad,13.3,2.81,366,8,10,Rainy,Sat,2978
D53,U53,30,4,Chennai,13.65,2.32,521,4,19,Cloudy,Tue,525
D54,U54,66,2,Hyderabad,17.19,1.05,571,5,3,Cloudy,Fri,1194
D55,U55,48,6,Kochi,7.85,6.08,646,8,12,Sunny,Sun,812
D56,U56,70,2,Kochi,14.37,5.83,625,16,16,Rainy,Mon,2793
D57,U57,73,5,Kochi,19.31,2.26,602,6,17,Cloudy,Tue,795
D58,U58,52,6,Pune,15.14,6.12,113,17,7,Sunny,Mon,1120
D59,U59,23,4,Kochi,10.82,7.38,463,16,13,Cloudy,Mon,1041
D60,U60,22,6,Pune,13.35,1.31,218,5,2,Rainy,Sat,1425
D61,U61,39,5,Pune,15.31,2.24,337,17,4,Cloudy,Tue,543
D62,U62,66,3,Hyderabad,13.02,6.13,645,17,10,Cloudy,Mon,2076
D63,U63,40,7,Chennai,2.3,2.56,268,7,7,Sunny,Sat,1058
D64,U64,42,2,Hyderabad,5.51,5.18,621,7,17,Cloudy,Sat,1623
D65,U65,51,5,Hyderabad,16.59,1.11,615,7,6,Sunny,Tue,644
D66,U66,43,3,Pune,6.91,3.89,496,7,19,Rainy,Sat,1988
